Text Col A,Num Col 1,Date Col 1,Num Col 2,Text Col 3
Text Entry 1-1,3075,42363,2998,Text Entry 3-1
Text Entry 1-2,3106,42361,710,Text Entry 3-2
Text Entry 1-3,430,42419,415,Text Entry 3-3
Text Entry 1-4,1676,42488,602,Text Entry 3-4
Text Entry 1-5,2544,42404,1240,Text Entry 3-1
Text Entry 1-6,1282,42476,2224,Text Entry 3-2
Text Entry 1-7,874,42413,2568,Text Entry 3-3
Text Entry 1-8,2569,42357,3194,Text Entry 3-4
Text Entry 1-9,577,42411,2437,Text Entry 3-1
Text Entry 1-10,395,42404,664,Text Entry 3-2
Text Entry 1-11,2722,42385,347,Text Entry 3-3
Text Entry 1-12,3301,42360,1285,Text Entry 3-4
Text Entry 1-13,2252,42502,877,Text Entry 3-1
Text Entry 1-14,1667,42481,3092,Text Entry 3-2
Text Entry 1-15,1058,42389,2118,Text Entry 3-3
Text Entry 1-16,617,42349,1943,Text Entry 3-4
